rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_dr2_id,gaia_dr3_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec
1,11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,Gaia DR3 3946945413106333696,1,2,1,0,0,Radial Velocity,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2008-01,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,323.21,0.06,-0.05,0,1.178,0,0,0,,,,,,,,,,,,,,,,,4914.898486,39.09289406,-39.72855088,0,15.464,0.123,-0.125,0,,,,,,,,,4914.898486,39.09289406,-39.72855088,0,15.464,0.123,-0.125,0,Msini,,,,,0.238,0.007,-0.007,0,,,,,,,,,,,,,,,,,JD,0,,,,,,,,,,,,,,,,,,,,,,,,,2454519.4,1.5,-1.6,0,91.33,1.7,-1.8,0,288.63,2.39,-2.37,0,,,,,,,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G8 III,4874,,,0,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,-0.26,0.1,-0.1,0,[Fe/H],1.97823,0.18002,-0.15868,0,2.45,0.08,-0.08,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.4179,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846,1.9238,-1.9238,10.7104,0.219739,-0.219739,5.726,0.017,-0.017,4.72307,0.023,-0.023,2.943,0.334,-0.334,2.484,0.268,-0.268,2.282,0.346,-0.346,,,,,,,,,,,,,,,,0.639,,,0.732,,,2.358,0.01,-0.01,2.27,0.018,-0.018,4.44038,0.0038479,-0.0038479,,,,3.8379,0.0071,-0.0071,,,,9/19/2023,2023-08,9/19/2023,2,1,2,0,0,0,0
2,11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,Gaia DR3 3946945413106333696,0,2,1,0,0,Radial Velocity,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2008-01,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,,,,,,,,,,,,,,,,,6165.6,476.7,-476.7,0,19.4,1.5,-1.5,0,,,,,,,,,6165.6,476.7,-476.7,0,19.4,1.5,-1.5,0,Msini,,,,,0.231,0.005,-0.005,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2452899.6,1.6,-1.6,0,94.8,1.5,-1.5,0,302.8,2.6,-2.6,0,,,,,,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742,100,-100,0,19,2,-2,0,2.7,0.3,-0.3,0,-0.35,0.09,-0.09,0,[Fe/H],2.243,0.071,-0.085,0,2.31,0.1,-0.1,0,,,,,,,,,1.2,1,-1,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.4179,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846,1.9238,-1.9238,10.7104,0.219739,-0.219739,5.726,0.017,-0.017,4.72307,0.023,-0.023,2.943,0.334,-0.334,2.484,0.268,-0.268,2.282,0.346,-0.346,,,,,,,,,,,,,,,,0.639,,,0.732,,,2.358,0.01,-0.01,2.27,0.018,-0.018,4.44038,0.0038479,-0.0038479,,,,3.8379,0.0071,-0.0071,,,,5/14/2014,2008-01,5/14/2014,2,1,2,0,0,0,0
3,11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,Gaia DR3 3946945413106333696,0,2,1,0,0,Radial Velocity,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2008-01,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,1.21,0.06,-0.05,0,,,,,,,,,,,,,,,,,5434.7,540.3,-413.2,0,17.1,1.7,-1.3,0,,,,,,,,,5434.7,540.3,-413.2,0,17.1,1.7,-1.3,0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,,,,,,2.6,0.4,-0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.4179,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846,1.9238,-1.9238,10.7104,0.219739,-0.219739,5.726,0.017,-0.017,4.72307,0.023,-0.023,2.943,0.334,-0.334,2.484,0.268,-0.268,2.282,0.346,-0.346,,,,,,,,,,,,,,,,0.639,,,0.732,,,2.358,0.01,-0.01,2.27,0.018,-0.018,4.44038,0.0038479,-0.0038479,,,,3.8379,0.0071,-0.0071,,,,7/23/2014,2011-08,7/23/2014,2,1,2,0,0,0,0
4,11 UMi b,11 UMi,b,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,Gaia DR3 1696798367260229376,0,1,1,0,0,Radial Velocity,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,2009-10,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,,,,,,,,,,,,,,,,,3337.07,785.01,-785.01,0,10.5,2.47,-2.47,0,,,,,,,,,3337.07,785.01,-785.01,0,10.5,2.47,-2.47,0,Msini,,,,,0.08,0.03,-0.03,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2452861.04,2.06,-2.06,0,117.63,21.06,-21.06,0,189.7,7.15,-7.15,0,,,,,,,,,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,K4 III,4340,70,-70,0,24.08,1.84,-1.84,0,1.8,0.25,-0.25,0,0.04,0.04,-0.04,0,[Fe/H],,,,,1.6,0.15,-0.15,0,1.56,0.54,-0.54,0,,,,,1.5,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.719,74.95821,141.64312,10.6790187,0.2188062,-0.2188062,3.42996,0.231822,-0.231822,10.1132,0.217259,-0.217259,125.321,1.9765,-1.9765,7.95388,0.124857,-0.124857,6.382,0.045,-0.045,5.013,0.005,-0.005,2.876,0.23,-0.23,2.091,0.194,-0.194,1.939,0.27,-0.27,,,,,,,,,,,,,,,,-0.29,,,0.143,,,1.894,0.012,-0.012,1.787,0.013,-0.013,4.56216,0.0039035,-0.0039035,,,,3.82294,0.0075,-0.0075,,,,4/25/2018,2009-10,5/14/2014,0,1,1,0,0,0,0
5,11 UMi b,11 UMi,b,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,Gaia DR3 1696798367260229376,1,1,1,0,0,Radial Velocity,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,2009-10,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,,,,,,,,,,,,,,,,,4684.8142,794.575,-794.575,0,14.74,2.5,-2.5,0,,,,,,,,,4684.8142,794.575,-794.575,0,14.74,2.5,-2.5,0,Msini,,,,,0.08,0.03,-0.03,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.7,7.2,-7.2,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213,46,-46,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.02,,,0,[Fe/H],,,,,1.93,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.719,74.95821,141.64312,10.6790187,0.2188062,-0.2188062,3.42996,0.231822,-0.231822,10.1132,0.217259,-0.217259,125.321,1.9765,-1.9765,7.95388,0.124857,-0.124857,6.382,0.045,-0.045,5.013,0.005,-0.005,2.876,0.23,-0.23,2.091,0.194,-0.194,1.939,0.27,-0.27,,,,,,,,,,,,,,,,-0.29,,,0.143,,,1.894,0.012,-0.012,1.787,0.013,-0.013,4.56216,0.0039035,-0.0039035,,,,3.82294,0.0075,-0.0075,,,,9/4/2018,2017-03,9/6/2018,0,1,1,0,0,0,0
6,11 UMi b,11 UMi,b,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,Gaia DR3 1696798367260229376,0,1,1,0,0,Radial Velocity,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,2009-10,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,1.51,0.06,-0.05,0,,,,,,,,,,,,,,,,,3432.4,381.4,-413.2,0,10.8,1.2,-1.3,0,,,,,,,,,3432.4,381.4,-413.2,0,10.8,1.2,-1.3,0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,,,,,,1.7,0.4,-0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.719,74.95821,141.64312,10.6790187,0.2188062,-0.2188062,3.42996,0.231822,-0.231822,10.1132,0.217259,-0.217259,125.321,1.9765,-1.9765,7.95388,0.124857,-0.124857,6.382,0.045,-0.045,5.013,0.005,-0.005,2.876,0.23,-0.23,2.091,0.194,-0.194,1.939,0.27,-0.27,,,,,,,,,,,,,,,,-0.29,,,0.143,,,1.894,0.012,-0.012,1.787,0.013,-0.013,4.56216,0.0039035,-0.0039035,,,,3.82294,0.0075,-0.0075,,,,4/25/2018,2011-08,7/23/2014,0,1,1,0,0,0,0
7,14 And b,14 And,b,HD 221345,HIP 116076,TIC 333225860,Gaia DR2 1920113512486282240,Gaia DR3 1920113512486282240,0,1,1,0,0,Radial Velocity,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,2008-12,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,0.68,0.03,-0.06,0,,,,,,,,,,,,,,,,,1017,127.1,-190.7,0,3.2,0.4,-0.6,0,,,,,,,,,1017,127.1,-190.7,0,3.2,0.4,-0.6,0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,,,,,,,1.2,0.4,-0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,-21.05141,106.41269,38.22901,11.95935,299.2526179,0.1826842,-0.1826842,287.292,0.18578,-0.18578,-83.7582,0.141256,-0.141256,75.4392,0.714,-0.714,13.2289,0.124501,-0.124501,6.256,0.017,-0.017,5.23133,0.023,-0.023,3.019,0.18,-0.18,2.608,0.184,-0.184,2.331,0.24,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91781,0.0028262,-0.0028262,,,,4.3214,0.0073,-0.0073,,,,7/23/2014,2011-08,7/23/2014,0,1,1,0,0,0,0
8,14 And b,14 And,b,HD 221345,HIP 116076,TIC 333225860,Gaia DR2 1920113512486282240,Gaia DR3 1920113512486282240,1,1,1,0,0,Radial Velocity,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,2008-12,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,186.76,0.11,-0.12,0,0.775,0,0,0,,,,,,,,,,,,,,,,,1131.151301,36.2324384,-38.77506565,0,3.559,0.114,-0.122,0,,,,,,,,,1131.151301,36.2324384,-38.77506565,0,3.559,0.114,-0.122,0,Msini,,,,,0,,,0,,,,,,,,,,,,,,,,,JD,0,,,,,,,,,,,,,,,,,,,,,,,,,2452853,2.1,-2.1,0,0,,,0,86.08,2.76,-2.95,0,,,,,,,,,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,K0 III,4888,,,0,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,-0.21,0.1,-0.1,0,[Fe/H],1.83992,0.08135,-0.04991,0,2.55,0.06,-0.07,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,-21.05141,106.41269,38.22901,11.95935,299.2526179,0.1826842,-0.1826842,287.292,0.18578,-0.18578,-83.7582,0.141256,-0.141256,75.4392,0.714,-0.714,13.2289,0.124501,-0.124501,6.256,0.017,-0.017,5.23133,0.023,-0.023,3.019,0.18,-0.18,2.608,0.184,-0.184,2.331,0.24,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91781,0.0028262,-0.0028262,,,,4.3214,0.0073,-0.0073,,,,9/19/2023,2023-08,9/19/2023,0,1,1,0,0,0,0
9,14 And b,14 And,b,HD 221345,HIP 116076,TIC 333225860,Gaia DR2 1920113512486282240,Gaia DR3 1920113512486282240,0,1,1,0,0,Radial Velocity,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,2008-12,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84,0.23,-0.23,0,0.83,,,0,,,,,,,,,,,,,,,,,1525.5,,,0,4.8,,,0,,,,,,,,,1525.5,,,0,4.8,,,0,Msini,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2452861.4,1.5,-1.5,0,0,,,0,100,1.3,-1.3,0,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813,20,-20,0,11,1,-1,0,2.2,0.1,-0.2,0,-0.24,0.03,-0.03,0,[Fe/H],1.763,,,0,2.63,0.07,-0.07,0,,,,,,,,,2.6,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,-21.05141,106.41269,38.22901,11.95935,299.2526179,0.1826842,-0.1826842,287.292,0.18578,-0.18578,-83.7582,0.141256,-0.141256,75.4392,0.714,-0.714,13.2289,0.124501,-0.124501,6.256,0.017,-0.017,5.23133,0.023,-0.023,3.019,0.18,-0.18,2.608,0.184,-0.184,2.331,0.24,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91781,0.0028262,-0.0028262,,,,4.3214,0.0073,-0.0073,,,,5/14/2014,2008-12,5/14/2014,0,1,1,0,0,0,0
10,14 Her b,14 Her,b,HD 145675,HIP 79248,TIC 219483057,Gaia DR2 1385293808145621504,Gaia DR3 1385293808145621504,1,1,2,0,0,Radial Velocity,2002,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,2003-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1765.0389,1.67709,-1.87256,0,2.774,0.109,-0.12,0,,,,,,,,,2559.472162,518.6959602,-280.6424834,0,8.053,1.632,-0.883,0,,,,,,,,,,,,,,,,,2559.472162,518.6959602,-280.6424834,0,8.053,1.632,-0.883,0,Mass,,,,,0.373,0.008,-0.006,0,,,,,,,,,144.652,6.279,-3.241,0,,,,,BJD,0,,,,,,,,,,,,,,,,,,,,,,,,,2449614.563,5.447,-6.281,0,23.043,1.183,-1.105,0,89.582,0.963,-0.822,0,,,,,,,,,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,0.91,0.113,-0.113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,62.87885,223.24717,324.5303062,0.0424169,-0.0424169,132.019,0.0385189,-0.0385189,-296.464,0.0431481,-0.0431481,17.9323,0.0073,-0.0073,55.7363,0.022596,-0.022596,7.495,0.02,-0.02,6.61935,0.023,-0.023,5.158,0.029,-0.029,4.803,0.016,-0.016,4.714,0.016,-0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.383,0.0003512,-0.0003512,,,,5.8631,0.006,-0.006,,,,6/12/2023,2022-09,6/12/2023,0,1,4,1,0,0,0
